# Aqui comienza la evaluacion de las interacciones de los usuarios 
Interaction Number,Timestamp,MRR,Precision,Cosine Similarity,ROUGE-1,ROUGE-L,BLEU
1,2024-09-22 14:14:20,0,0.0,0.07943248776279499,0.010362694300518133,0.010362694300518133,5.023388855668308e-232
1,2024-09-22 14:24:06,0,0.0,0.17731272988159694,0.03092783505154639,0.03092783505154639,5.973849768586386e-232,3.2790839672088623
1,2024-09-22 14:35:51,hola,"Hola, ¿en qué puedo ayudarte hoy con respecto a la búsqueda y análisis de productos?",0,0.0,0.2011946755849157,0.0,0,0,8.821487426757812e-06
2,2024-09-22 14:36:08,quiero saber mas de MAc Afee,"1. En relación a MacAfee, es importante destacar que se trata de una conocida empresa de software de seguridad informática que ofrece diferentes soluciones para proteger dispositivos contra virus, malware y otras amenazas en línea. MacAfee es ampliamente reconocido en el mercado por su enfoque en la seguridad de los sistemas informáticos y la protección de la privacidad de los usuarios. En caso de requerir más información específica sobre algún producto o servicio en particular de MacAfee, estaré encantado de brindarte detalles adicionales.

2. Evaluación del sentimiento general de las reseñas proporcionadas:
- La primera reseña ""no es amigable"" tiene un sentimiento negativo.
- La segunda reseña ""excelente pura vida"" tiene un sentimiento positivo.
- La tercera reseña menciona un problema con el pedido y la necesidad de un software específico para Mac, lo cual podría considerarse un sentimiento neutro o incluso negativo por la situación experimentada.
- La cuarta reseña destaca la preferencia por Microsoft Office y la importancia de su uso en el ámbito educativo, lo cual genera un sentimiento positivo.
- La quinta reseña menciona problemas al intentar utilizar un software en un Mac y la solución obtenida, lo cual indica un sentimiento negativo por la experiencia vivida.

En resumen, las reseñas proporcionadas presentan variedad en términos de sentimientos, con una combinación de opiniones positivas, negativas y neutras. La polaridad general podría considerarse mixta debido a esta diversidad de emociones expresadas por los usuarios en sus comentarios.",0,0.0,0.13078046272546076,0.022900763358778626,0.022900763358778626,4.628662477364524e-232,5.041765928268433
1,2024-09-22 14:39:00,hola,0,0.0,0.2011946755849157,0.0,0,0,1.0013580322265625e-05
2,2024-09-22 14:39:09,amazon,0,0.0,0.14700381335480278,0.01183431952662722,0.01183431952662722,5.277597161146185e-232,3.697145938873291
1,2024-09-22 14:56:25,hola,0,0.0,0.2011946755849157,0.0,0,0,1.0013580322265625e-05
1,2024-09-22 15:03:07,hola,0,0.0,0.2011946755849157,0.0,0,0,1.3828277587890625e-05
1,2024-09-22 15:04:35,hola,0,0.0,0.2011946755849157,0.0,0,0,1.71661376953125e-05
1,2024-09-22 15:05:54,hola como estas?,0,0.0,0.02275400115500007,0.049180327868852465,0.049180327868852465,5.50443835102825e-232,2.903895139694214
1,2024-09-22 15:11:38,hola,0,0.0,0.2011946755849157,0.0,0,0,1.6927719116210938e-05
2,2024-09-22 15:12:54,"Ich habe jahrelang McAfee verwendet und es hat perfekt funktioniert. Ein Freund schlägt vor, zu Norton zu wechseln, aber ich bin nicht sicher. Was sagen die Benutzerbewertungen über Norton im Vergleich zu McAfee? Lohnt es sich wirklich, zu wechseln?",0,0.0,0.049675352338767007,0.04854368932038835,0.038834951456310676,6.792517015680791e-232,4.780663728713989
1,2024-09-22 15:17:50,hola,0,0.0,0.2011946755849157,0.0,0,0,8.106231689453125e-06
2,2024-09-22 15:18:01,si quiero sabe mas de amazon,0,0.0,0.2036413104165286,0.010152284263959392,0.010152284263959392,5.0306744279006446e-232,3.529386043548584
1,2024-09-23 18:39:52,hola,0,0.0,0.2011946755849157,0.0,0,0,5.0067901611328125e-06
2,2024-09-23 18:40:08,"Ich habe jahrelang McAfee verwendet und es hat perfekt funktioniert. Ein Freund schlägt vor, zu Norton zu wechseln, aber ich bin nicht sicher. Was sagen die Benutzerbewertungen über Norton im Vergleich zu McAfee? Lohnt es sich wirklich, zu wechseln?",0,0.0,0.03704325104085124,0.04488778054862843,0.034912718204488775,6.80074539783433e-232,6.031159162521362
1,2024-09-23 19:34:16,quiero saber si existe posibilidad de crear un producto mejor que photoshop,0,0.0,0.230586359216857,0.008771929824561405,0.008771929824561405,4.808853187931993e-232,4.327116012573242
2,2024-09-23 19:34:48,cual es el producto mencionado en la reseña,0,0.0,0.24711536073105797,0.040268456375838924,0.02684563758389262,7.114448003820407e-232,2.7378551959991455
3,2024-09-23 19:35:16,como se llama el producto,0,0.0,0.10811601434229832,0.03314917127071823,0.03314917127071823,5.052852810173745e-232,4.184732913970947
4,2024-09-23 19:35:46,me puedes decir que opinan sobre Amazon,0,0.0,0.09532215919501413,0.010362694300518133,0.010362694300518133,5.052852810173745e-232,4.499329090118408
1,2024-09-23 23:07:13,holas,0,0.0,0.04044317328452008,0.023809523809523808,0.023809523809523808,5.268346297959702e-232,3.502467155456543
1,2024-09-24 17:29:40,Como ha sido la experiencia de los usuarios con el producto TURBOMAX,0,0.0,0.4325101927874934,0.0,0.0,0,3.121912717819214
2,2024-09-24 17:43:31,Cómo califican los usuarios las características de seguridad del software McAfee para proteger sus sistemas,0,0.0,0.3290742330343169,0.01015228426395939,0.01015228426395939,0,4.294420957565308
1,2024-09-25 21:05:41,buenas,0,0.0,0.0,0.04878048780487806,0.04878048780487806,5.5754780543102235e-232,3.8114261627197266
1,2024-09-26 19:04:50,hola,0,0.0,0.2011946755849157,0.0,0,0,2.193450927734375e-05
1,2024-09-26 19:09:46,hola,0,0.0,0.2011946755849157,0.0,0,0,8.821487426757812e-06
1,2024-09-26 19:12:03,Hola,0,0.0,0.2011946755849157,0.0,0,0,1.0013580322265625e-05
2,2024-09-26 19:13:11,¿Cómo ha cambiado la experiencia de los usuarios con TurboTax a lo largo de los últimos 10 años?,0,0.0,0.49379165820175275,0.005194805194805196,0.005194805194805196,4.23954968018401e-232,8.04591703414917
1,2024-09-26 19:14:49,hola,0,0.0,0.2011946755849157,0.0,0,0,1.0967254638671875e-05
2,2024-09-26 19:15:07,(Esto no lo utizaras como titular),0,0.0,0.07867696496153796,0.024,0.024,3.205228381214584e-79,5.757408857345581
1,2024-09-26 19:26:47,¿Cómo ha cambiado la experiencia de los usuarios con TurboTax a lo largo de los últimos 10 años?,0,0.0,0.4361197352234795,0.0,0.0,0,4.437408208847046
2,2024-09-26 19:28:26,crees que los usuarios de Apple music son felies con el servicio?,0,0.0,0.3217430581867103,0.07878787878787878,0.054545454545454536,4.673102732696767e-232,5.971251964569092
3,2024-09-26 19:28:54,me referia a prime music,0,0.0,0.07622399340366093,0.009569377990430622,0.009569377990430622,0,5.361668109893799
4,2024-09-26 19:59:32,¿Qué tan intuitiva es la interfaz de McAfee Internet Security según los usuarios?,0,0.0,0.35800341960640714,0.0392156862745098,0.0392156862745098,1.6803032233549838e-155,3.569685935974121
5,2024-09-26 20:25:45,Hur intuitiv är gränssnittet för McAfee Internet Security enligt användarna?,0,0.0,0.0501425301163728,0.006535947712418301,0.006535947712418301,3.4099774277538036e-232,4.465013742446899
6,2024-09-26 20:26:15,根据用户的反馈，McAfee互联网安全的界面有多直观？,0,0.0,0.0,0.03225806451612903,0.025806451612903226,7.114448003820407e-232,3.797755002975464
1,2024-09-28 13:40:16,hola,0,0.0,0.2011946755849157,0.0,0,0,3.0040740966796875e-05
2,2024-09-28 13:40:29,hola como estas?,0,0.0,0.05495291334415409,0.02790697674418605,0.02790697674418605,4.869050800549907e-232,4.0459370613098145
1,2024-09-28 18:26:27,Hola,0,0.0,0.2011946755849157,0.0,0,0,5.9604644775390625e-06
2,2024-09-28 18:26:50,quiero sabe mas sobre lo que opina la gente con amazon,0,0.0,0.10342444358522544,0.0,0.0,0,4.425328969955444
1,2024-09-28 18:51:09,hola,0,0.0,0.2011946755849157,0.0,0,0,1.0967254638671875e-05
2,2024-09-28 18:51:26,"Ich habe jahrelang McAfee verwendet und es hat perfekt funktioniert. Ein Freund schlägt vor, zu Norton zu wechseln, aber ich bin nicht sicher. Was sagen die Benutzerbewertungen über Norton im Vergleich zu McAfee? Lohnt es sich wirklich, zu wechseln?",0,0.0,0.05066121931975775,0.026986506746626684,0.020989505247376312,4.703949969806523e-232,10.520946264266968
1,2024-09-28 19:01:39,Hola,0,0.0,0.2011946755849157,0.0,0,0,1.5020370483398438e-05
2,2024-09-28 19:01:45,me puedes decir que opinan sobre Amazon,0,0.0,0.2825619873614406,0.018518518518518517,0.018518518518518517,0,1.9076712131500244
3,2024-09-28 19:02:19,"Ich habe jahrelang McAfee verwendet und es hat perfekt funktioniert. Ein Freund schlägt vor, zu Norton zu wechseln, aber ich bin nicht sicher. Was sagen die Benutzerbewertungen über Norton im Vergleich zu McAfee? Lohnt es sich wirklich, zu wechseln?",0,0.0,0.059670713018906946,0.06666666666666667,0.0392156862745098,5.728013638569929e-232,7.849792957305908
1,2024-09-28 19:07:48,hola,0,0.0,0.2011946755849157,0.0,0,0,8.106231689453125e-06
2,2024-09-28 19:07:59,me puedes decir que opinan sobre Amazon,0,0.0,0.08660352144600139,0.018518518518518517,0.01234567901234568,4.348812110130843e-232,6.045426845550537
1,2024-09-28 19:10:52,hola,0,0.0,0.2011946755849157,0.0,0,0,1.0967254638671875e-05
2,2024-09-28 19:11:00,me puedes decir que opinan sobre Amazon,0,0.0,0.08482811836897872,0.006920415224913495,0.006920415224913495,4.545727492559708e-232,4.04852294921875
1,2024-09-28 19:17:19,hola,0,0.0,0.2011946755849157,0.0,0,0,1.1682510375976562e-05
2,2024-09-28 19:17:29,me puedes decir que opinan sobre Amazon,0,0.0,0.09828120412149415,0.02586206896551724,0.02586206896551724,4.703949969806523e-232,4.016744136810303
1,2024-09-28 19:19:36,hola,0,0.0,0.2011946755849157,0.0,0,0,6.9141387939453125e-06
2,2024-09-28 19:19:46,me puedes decir que opinan sobre Amazon,0,0.0,0.12918934777629348,0.010230179028132993,0.005115089514066497,4.966937324201032e-232,6.578558921813965
1,2024-09-28 19:31:23,"Ich habe jahrelang McAfee verwendet und es hat perfekt funktioniert. Ein Freund schlägt vor, zu Norton zu wechseln, aber ich bin nicht sicher. Was sagen die Benutzerbewertungen über Norton im Vergleich zu McAfee? Lohnt es sich wirklich, zu wechseln?",0,0.0,0.05791595344865961,0.08518518518518518,0.06666666666666665,7.316441866539576e-232,8.133081912994385
1,2024-09-28 19:32:17,"Ich habe jahrelang McAfee verwendet und es hat perfekt funktioniert. Ein Freund schlägt vor, zu Norton zu wechseln, aber ich bin nicht sicher. Was sagen die Benutzerbewertungen über Norton im Vergleich zu McAfee? Lohnt es sich wirklich, zu wechseln?",0,0.0,0.09282463323649741,0.04597701149425288,0.036781609195402305,6.608765262942358e-232,4.432520866394043
1,2024-09-28 19:34:20,me gustaria saber mas de amazon,0,0.0,0.15166920509131918,0.006968641114982579,0.006968641114982579,4.528277160929837e-232,4.516650915145874
1,2024-09-28 19:35:47,me puedes decir que opinan sobre Amazon,0,0.0,0.1502829774630738,0.01739130434782609,0.01739130434782609,4.791502863533838e-232,4.099879026412964
1,2024-09-28 19:39:25,me gustaria saber mas de amazon,0,0.0,0.1755382012513842,0.008403361344537815,0.008403361344537815,4.768847369057733e-232,5.753359794616699
1,2024-09-28 19:44:23,me gustaria saber mas de amazon,0,0.0,0.18600682500645885,0.009828009828009828,0.004914004914004914,4.9533104816219254e-232,7.473343849182129
1,2024-09-28 19:51:23,"Ich habe jahrelang McAfee verwendet und es hat perfekt funktioniert. Ein Freund schlägt vor, zu Norton zu wechseln, aber ich bin nicht sicher. Was sagen die Benutzerbewertungen über Norton im Vergleich zu McAfee? Lohnt es sich wirklich, zu wechseln?",0,0.0,0.06351140904232949,0.06194690265486725,0.04424778761061947,6.4039509751711335e-232,4.487411022186279
